iter	Passed	Remaining
472	679	756
473	680	754
474	681	753
475	682	751
476	683	749
477	684	747
478	685	745
479	686	743
480	687	741
481	689	740
482	690	739
483	691	737
484	692	735
485	694	734
486	695	732
487	696	731
488	698	730
489	699	728
490	701	727
491	702	725
492	704	724
493	705	722
494	706	720
495	707	718
496	708	716
497	709	715
498	710	713
499	711	711
500	713	710
501	714	708
502	715	706
503	716	705
504	717	703
505	718	701
506	719	699
507	720	697
508	721	695
509	722	694
510	723	692
511	724	690
512	725	688
513	726	687
514	727	685
515	728	683
516	729	681
517	730	680
518	732	678
519	734	677
520	735	676
521	736	674
522	737	672
523	738	671
524	739	669
525	740	667
526	741	665
527	743	664
528	744	662
529	745	660
530	746	659
531	748	658
532	749	656
533	750	655
534	751	653
535	752	651
536	754	650
537	755	648
538	756	646
539	757	645
540	758	643
541	759	641
542	760	640
543	761	638
544	762	636
545	763	634
546	764	633
547	765	631
548	766	629
549	767	628
550	768	626
551	769	624
552	771	623
553	772	621
554	773	620
555	774	618
556	775	616
557	776	615
558	777	613
559	778	611
560	779	609
561	780	608
562	781	606
563	783	605
564	784	604
565	786	602
566	787	601
567	788	599
568	789	598
569	790	596
570	791	594
571	792	593
572	794	591
573	795	590
574	796	588
575	797	587
576	798	585
577	800	584
578	800	582
579	801	580
580	803	579
581	804	578
582	806	576
583	807	575
584	808	573
585	810	572
586	811	570
587	812	569
588	814	568
589	815	566
590	816	565
591	818	564
592	819	562
593	820	561
594	821	559
595	822	557
596	823	556
597	824	554
598	826	553
599	827	551
600	828	550
601	829	548
602	830	546
603	831	545
604	832	543
605	833	542
606	835	540
607	836	539
608	837	537
609	838	536
610	839	534
611	840	532
612	841	531
613	842	529
614	843	528
615	844	526
616	845	524
617	846	523
618	847	521
619	848	520
620	850	518
621	851	517
622	853	516
623	854	514
624	855	513
625	856	511
626	858	510
627	859	508
628	860	507
629	861	505
630	862	504
631	863	502
632	864	501
633	865	499
634	866	498
635	867	496
636	868	495
637	869	493
638	870	492
639	871	490
640	873	488
641	873	487
642	874	485
643	875	484
644	876	482
645	877	480
646	878	479
647	879	477
648	880	476
649	881	474
650	882	472
651	882	471
652	883	469
653	884	468
654	885	466
655	887	465
656	887	463
657	888	461
658	889	460
659	890	458
660	891	457
661	892	455
662	893	454
663	894	452
664	895	450
665	896	449
666	896	447
667	897	446
668	898	444
669	899	443
670	900	441
671	901	440
672	903	438
673	904	437
674	905	436
675	906	434
676	907	433
677	908	431
678	909	430
679	910	428
680	911	427
681	912	425
682	913	423
683	914	422
684	915	420
685	916	419
686	917	417
687	918	416
688	919	414
689	920	413
690	921	411
691	922	410
692	924	409
693	925	408
694	927	407
695	928	405
696	929	404
697	930	402
698	932	401
699	933	400
700	934	398
701	935	397
702	936	395
703	937	394
704	938	392
705	939	391
706	941	390
707	942	388
708	943	387
709	944	385
710	945	384
711	945	382
712	946	381
713	947	379
714	948	378
715	949	376
716	950	375
717	951	373
718	952	372
719	953	370
720	954	369
721	955	367
722	956	366
723	957	364
724	958	363
725	959	361
726	960	360
727	961	359
728	962	357
729	963	356
730	964	354
731	965	353
732	966	351
733	967	350
734	967	348
735	968	347
736	969	346
737	971	344
738	972	343
739	973	342
740	975	340
741	976	339
742	978	338
743	979	336
744	980	335
745	981	334
746	983	333
747	984	331
748	985	330
749	986	328
750	987	327
751	988	326
752	989	324
753	990	323
754	991	321
755	993	320
756	994	319
757	995	317
758	997	316
759	998	315
760	999	313
761	1000	312
762	1001	310
763	1002	309
764	1003	308
765	1004	306
766	1004	305
767	1005	303
768	1007	302
769	1008	301
770	1009	299
771	1010	298
772	1011	296
773	1012	295
774	1013	294
775	1013	292
776	1014	291
777	1016	289
